id,cik,filing,docs_link,filing_desc,effective,file_num,file_num_raw,filing_date,update_ts
6802,0000799630,10-K,/Archives/edgar/data/799630/0000785818-97-000003-index.html,"Annual report [Section 13 and 15(d), not S-K Item 405]
Acc-no: 0000785818-97-000003 Size: 107 KB            ",1997-03-26,033-02253-01,"033-02253-01
97563887         ",NULL,"2021-05-23 00:00:49"
48813,0000922869,8-K,/Archives/edgar/data/922869/000119312516691461/0001193125-16-691461-index.htm,"Current report, items 8.01 and 9.01

Acc-no: 0001193125-16-691461 (34 Act)  Size: 146 KB            ",2016-08-25,000-25762,"000-25762
161851325         ",NULL,"2021-05-23 00:07:28"
75920,0001020826,8-K,/Archives/edgar/data/1020826/0001067943-98-000016-index.html,"Current report, item 1

Acc-no: 0001067943-98-000016 Size: 8 KB            ",1998-10-13,333-10027,"333-10027
98724269         ",NULL,"2021-05-23 00:20:19"
227782,0001356221,FWP,/Archives/edgar/data/1356221/000088237706001133/0000882377-06-001133-index.htm,"Filing under Securities Act Rules 163/433 of free writing prospectuses
Acc-no: 0000882377-06-001133 (34 Act)  Size: 5 MB            ",2006-04-03,333-127352-30,"333-127352-30
06734177         ",NULL,"2021-05-23 01:36:27"
13747,0000811785,15-15D,/Archives/edgar/data/811785/000083994705000010/0000839947-05-000010-index.htm,"Suspension of duty to report [Section 13 and 15(d)]
Acc-no: 0000839947-05-000010 (34 Act)  Size: 4 KB            ",2005-01-28,333-72082,"333-72082
05557631         ",NULL,"2021-05-23 00:03:13"
53354,0000936988,8-K,/Archives/edgar/data/936988/000119312505136740/0001193125-05-136740-index.htm,"Current report, item 8.01

Acc-no: 0001193125-05-136740 (34 Act)  Size: 15 KB            ",2005-07-01,000-20949,"000-20949
05933160         ",NULL,"2021-05-23 00:12:49"
48733,0000922869,10-D,/Archives/edgar/data/922869/000119312514143656/0001193125-14-143656-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001193125-14-143656 (34 Act)  Size: 524 KB            ",2014-04-15,000-25762,"000-25762
14763931         ",NULL,"2021-05-23 00:08:05"
359777,0001763001,FWP,/Archives/edgar/data/1763001/000153949719000232/0001539497-19-000232-index.htm,"Filing under Securities Act Rules 163/433 of free writing prospectuses
Acc-no: 0001539497-19-000232 (34 Act)  Size: 38 KB            ",2019-02-13,333-226486-04,"333-226486-04
19597369         ",NULL,"2021-05-23 02:22:46"
84953,0001047607,8-K,/Archives/edgar/data/1047607/0000893220-98-001385-index.html,"Current report, item 7

Acc-no: 0000893220-98-001385 Size: 47 KB            ",1998-08-17,333-38575,"333-38575
98692568         ",NULL,"2021-05-23 00:25:27"
330353,0001666268,424B2,/Archives/edgar/data/1666268/000183988221003393/0001839882-21-003393-index.htm,"Prospectus [Rule 424(b)(2)]
Acc-no: 0001839882-21-003393 (33 Act)  Size: 826 KB            ",2021-03-02,333-250103-01,"333-250103-01
21702053         ",NULL,"2021-05-23 02:19:38"
254390,0001391720,10-D,/Archives/edgar/data/1391720/000102024207000776/0001020242-07-000776-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001020242-07-000776 (34 Act)  Size: 762 KB            ",2007-07-03,333-132042-64,"333-132042-64
07961939         ",NULL,"2021-05-23 01:49:33"
207152,0001328842,8-K,/Archives/edgar/data/1328842/000105640405004301/0001056404-05-004301-index.htm,"Current report, items 8.01 and 9.01

Acc-no: 0001056404-05-004301 (34 Act)  Size: 139 KB            ",2005-12-06,333-106982-71,"333-106982-71
051245361         ",NULL,"2021-05-23 01:23:25"
248083,0001383189,10-K,/Archives/edgar/data/1383189/000138318907000004/0001383189-07-000004-index.htm,"Annual report [Section 13 and 15(d), not S-K Item 405]
Acc-no: 0001383189-07-000004 (34 Act)  Size: 215 KB            ",2007-03-30,333-131196-07,"333-131196-07
07730761         ",NULL,"2021-05-23 01:46:45"
258194,0001396730,10-D,/Archives/edgar/data/1396730/000095013709003121/0000950137-09-003121-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0000950137-09-003121 (34 Act)  Size: 62 KB            ",2009-04-21,333-140273-01,"333-140273-01
09761138         ",NULL,"2021-05-23 01:51:57"
284633,0001540723,10-D,/Archives/edgar/data/1540723/000159214518000015/0001592145-18-000015-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001592145-18-000015 (34 Act)  Size: 1 MB            ",2018-07-16,333-192577,"333-192577
18953760         ",NULL,"2021-05-23 02:00:58"
214615,0001340072,10-K,/Archives/edgar/data/1340072/000107178706000797/0001071787-06-000797-index.htm,"Annual report [Section 13 and 15(d), not S-K Item 405]
Acc-no: 0001071787-06-000797 (34 Act)  Size: 20 KB            ",2006-03-30,333-125158-05,"333-125158-05
06721165         ",NULL,"2021-05-23 01:28:33"
8243,0000802106,8-K,/Archives/edgar/data/802106/000116231804000489/0001162318-04-000489-index.htm,"Current report, item 5

Acc-no: 0001162318-04-000489 Size: 70 KB            ",2004-08-13,333-37616,"333-37616
04974506         ",NULL,"2021-05-23 00:05:19"
245506,0001382634,FWP,/Archives/edgar/data/1382634/000114420406054900/0001144204-06-054900-index.htm,"Filing under Securities Act Rules 163/433 of free writing prospectuses
Acc-no: 0001144204-06-054900 (34 Act)  Size: 1 MB            ",2006-12-29,333-131662-20,"333-131662-20
061304390         ",NULL,"2021-05-23 01:46:27"
311857,0001607865,10-D,/Archives/edgar/data/1607865/000105640419009549/0001056404-19-009549-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001056404-19-009549 (34 Act)  Size: 1 MB            ",2019-10-24,333-191331-04,"333-191331-04
191166146         ",NULL,"2021-05-23 02:08:27"
36414,0000893958,10-D,/Archives/edgar/data/893958/000164961617000031/0001649616-17-000031-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001649616-17-000031 (34 Act)  Size: 467 KB            ",2017-12-22,033-49169,"033-49169
171271482         ",NULL,"2021-05-23 00:05:17"
332339,0001668589,10-D,/Archives/edgar/data/1668589/000114420418017445/0001144204-18-017445-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001144204-18-017445 (34 Act)  Size: 173 KB            ",2018-03-28,333-205844-01,"333-205844-01
18717896         ",NULL,"2021-05-23 02:13:38"
68129,0001008949,8-K,/Archives/edgar/data/1008949/0001008949-98-000003-index.html,"Current report, items 5 and 7

Acc-no: 0001008949-98-000003 Size: 21 KB            ",1998-05-06,333-01245,"333-01245
98611606         ",NULL,"2021-05-23 00:18:17"
