id,filing_id,seq,description,doc_name,doc_link,doc_type,size,update_ts
1391,531,0,"Complete submission text file",0000950009-95-000393.txt,/Archives/edgar/data/20164/0000950009-95-000393.txt, ,3438,"2021-05-23 17:53:06"
1444,554,0,"Complete submission text file",0000950009-95-000430.txt,/Archives/edgar/data/20164/0000950009-95-000430.txt, ,3448,"2021-05-23 17:53:27"
2091,772,1,NULL,c55125_424b5.htm,/Archives/edgar/data/20947/000093041308006652/c55125_424b5.htm,424B5,309472,"2021-05-23 17:57:05"
2093,772,0,"Complete submission text file",0000930413-08-006652.txt,/Archives/edgar/data/20947/000093041308006652/0000930413-08-006652.txt, ,321116,"2021-05-23 17:57:05"
4142,997,1,NULL,primary_doc.html,/Archives/edgar/data/20947/999999999506002112/xslEFFECTX01/primary_doc.xml,EFFECT,0,"2021-05-23 18:00:56"
4146,997,0,"Complete submission text file",9999999995-06-002112.txt,/Archives/edgar/data/20947/999999999506002112/9999999995-06-002112.txt, ,2022,"2021-05-23 18:00:56"
4492,1076,1,"PARTNERS FIRST CREDIT CARD MASTER TRUST",0001.txt,/Archives/edgar/data/36604/000095016800002488/0000950168-00-002488-0001.txt,8-K,3728,"2021-05-23 18:02:04"
4493,1076,2,"MONTHLY SERVICER'S CERTIFICATE",0002.txt,/Archives/edgar/data/36604/000095016800002488/0000950168-00-002488-0002.txt,EX-20,78247,"2021-05-23 18:02:04"
4494,1076,0,"Complete submission text file",0000950168-00-002488.txt,/Archives/edgar/data/36604/000095016800002488/0000950168-00-002488.txt, ,84556,"2021-05-23 18:02:04"
7699,1685,1,"MELLON BANK, N.A.              8-K",j1504501e8vk.htm,/Archives/edgar/data/216543/000095015205005941/j1504501e8vk.htm,8-K,16237,"2021-05-23 18:12:16"
7700,1685,2,EX-20,j1504501exv20.htm,/Archives/edgar/data/216543/000095015205005941/j1504501exv20.htm,EX-20,238235,"2021-05-23 18:12:16"
7701,1685,0,"Complete submission text file",0000950152-05-005941.txt,/Archives/edgar/data/216543/000095015205005941/0000950152-05-005941.txt, ,257927,"2021-05-23 18:12:16"
8364,1936,0,"Complete submission text file",0000314643-97-000036.txt,/Archives/edgar/data/314643/0000314643-97-000036.txt, ,16460,"2021-05-23 18:16:29"
8614,2055,0,"Complete submission text file",0000314643-98-000002.txt,/Archives/edgar/data/314643/0000314643-98-000002.txt, ,15896,"2021-05-23 18:18:19"
9002,2236,0,"Complete submission text file",0000314643-98-000206.txt,/Archives/edgar/data/314643/0000314643-98-000206.txt, ,37128,"2021-05-23 18:21:19"
9035,2251,0,"Complete submission text file",0000314643-98-000224.txt,/Archives/edgar/data/314643/0000314643-98-000224.txt, ,16034,"2021-05-23 18:21:36"
9393,2404,1,NULL,a71116_abs15g.htm,/Archives/edgar/data/314643/000092963817000834/a71116_abs15g.htm,ABS-15G,16682,"2021-05-23 18:24:12"
9394,2404,2,"DISCLOSURE REQUIRED BY RULE 15GA-1",exhibit99-1.htm,/Archives/edgar/data/314643/000092963817000834/exhibit99-1.htm,EX-99.1,6686077,"2021-05-23 18:24:12"
9395,2404,0,"Complete submission text file",0000929638-17-000834.txt,/Archives/edgar/data/314643/000092963817000834/0000929638-17-000834.txt, ,6704337,"2021-05-23 18:24:12"
9509,2455,1,"WASHINGTON MUTUAL 2001-7 424B5",a29954.txt,/Archives/edgar/data/314643/000095011701500650/a29954.txt,424B5,1022394,"2021-05-23 18:24:57"
9510,2455,0,"Complete submission text file",0000950117-01-500650.txt,/Archives/edgar/data/314643/000095011701500650/0000950117-01-500650.txt, ,1024637,"2021-05-23 18:24:57"
10174,2722,1,"WAMU 2004-RS1 BLOOMBERG",a37145.txt,/Archives/edgar/data/314643/000095011704000773/a37145.txt,8-K,3118,"2021-05-23 18:29:30"
10175,2722,3,"EXHIBIT 99.1",ex99-1.txt,/Archives/edgar/data/314643/000095011704000773/ex99-1.txt,EX-99,99361,"2021-05-23 18:29:30"
10176,2722,0,"Complete submission text file",0000950117-04-000773.txt,/Archives/edgar/data/314643/000095011704000773/0000950117-04-000773.txt, ,104431,"2021-05-23 18:29:30"
10408,2819,1,424B5,b323064_424b5.txt,/Archives/edgar/data/314643/000112528203002032/b323064_424b5.txt,424B5,812158,"2021-05-23 18:31:09"
10409,2819,0,"Complete submission text file",0001125282-03-002032.txt,/Archives/edgar/data/314643/000112528203002032/0001125282-03-002032.txt, ,814407,"2021-05-23 18:31:09"
10887,2943,1,NULL,form8ktermsheet2_20052.htm,/Archives/edgar/data/314643/000127727705000162/form8ktermsheet2_20052.htm,8-K,6274,"2021-05-23 18:33:10"
10888,2943,2,NULL,exh991to8ktermsheet_2.htm,/Archives/edgar/data/314643/000127727705000162/exh991to8ktermsheet_2.htm,EX-99.1,3988761,"2021-05-23 18:33:10"
10889,2943,3,NULL,exh992to8ktermsheet_2.htm,/Archives/edgar/data/314643/000127727705000162/exh992to8ktermsheet_2.htm,EX-99.2,3500665,"2021-05-23 18:33:10"
